site_index,summary
64,محمود مردی میانسال و استاد دانشگاه است. در احوالات عرفانی و دنیای دلخواه خود، یعنی قرن چهارم و پنجم سیر می کند. اتفاقی باعث می شود که محمود خود را در همان قرن ها و در پیشگاه شیخ ابوسعید ابوالخیر ببیند و عاشق یکی از مریدان او شود. درهم آمیختگی روایت کلاسیک و مدرن و نیز چاشنی طنز و فانتزی در بستری تاریخی منجر به خلق داستانی جذاب و خواندنی با ویژگی های خاص نویسندگی عباس سلیمی شده است. در قمستی از این کتاب می خوانیم: از خرانق گذشته ایم و بر کویر می رانیم. داریم از کنار آن تابلوهای سبز فلکی می گذریم و هر تابلو آسمانی است که وقتی محوش می شوم، قلپ قلپ آب وارد شش هایم می شود و دست و پا می زنم، نفسم می گیرد و حتی با بودن حسن، که می خواهد آن قدر بزی ام تا خودش رگ بسملم را بزند، غرق می شوم. رنگ سبز فلکی همیشه همین بلا را سرم می آورد؛ وقتی بر آن تمرکز می کنم خیزاب های سهمگین به سویم می تازند. گاهی هم کف می کند و در برم می گیرد و دست و پا می زنم، آن گاه حسن به سخن می آید و می گوید: «فلسفی نشو فقیر! اصلا رنگی نیست و آنچه هست تابلو است و تابلو هم نیست، آن تویی و تو هم نیستی و آنچه هست اوست.»
66,این کتاب به قلم استاد بزرگ شطرنج که می توان در آن عشق او به شطرنج و فلسفه اش را در این حیطه به خوبی مشاهده کرد نگارش شده و دیدی روشنگرانه از ذهن و اندیشه او به دست می دهد. کارپف در کتاب خود به صراحت از نبردهایی که در داخل و خارج از صفحه شطرنج داشته سخن گفته، و حقایقی جالب و ناگفته را پیرامون بازیکنانی معروف و نام آشنا بیان کرده که گاه تعجب برانگیز است. چیزهایی مثل شرکت در جلسات فراروان شناسی یا شرکت در مراسم جادوگری برای غلبه بر رقیبان. کارپف که کتاب های بسیاری را پیرامون استراتژی شطرنج به رشته تحریر درآورده، این بار پای از این دایره بیرون نهاده و تصویرگر خودش به عنوان یکی از قهرمانان بزرگ شطرنج شده است.
67,کتاب شمیم گل نرگس در هجده فصل تدوین شده است. در این فصول روایات متعددی در موضوعات مختلف مربوط به امام زمان عجل الله تعالی فرج گردآوری شده است. موضوعی برخی از این فصل‌ها عبارت است از: ولادت امام زمان، مسئله غیبت، وظیفه شیعه در عصر غیبت، نشانه‌های ظهور، ویژگی‌های قیام حضرت، سیره امام زمان پس از ظهور و … .در ابتدای کتاب نیز برخی از آیات قرآن که مربوط به مسئله ظهور منجی و نجات عالم است آورده شده است.در مجموع کتاب شمیم گل نرگس شامل 313 روایت و چند آیه است. روایات این کتاب ساده بوده و نیاز به تفسیر و توضیح پیچیده ای ندارد. از این رو این کتاب برای عموم مردم به خصوص جوانان بسیار مفید است و سبب آشنایی ایشان با اندیشه مهدویت خواهد شد.
69,کتاب «نور و سایه در طراحی از چهره جلد ششم» اثر هنرمند معاصر عبدالله علیخانی، مجموعه‌ای از طراحی چهره‌های شاخص را دربرمی‌گیرد. به کارگیری خطوط آزاد، در طراحی‌های این کتاب بیان واضحی است که خصوصیات فردی و جایگاه اجتماعی فرد به تصویر کشیده شده را بر اساس شناخت نسبی نقاش بدون هیچ‌گونه واسطه‌ای به مخاطب انتقال می‌دهد. ارائه این گونه خطوط به‌ویژه در شخصیت‌های مرد، هیجان خاصی را به اثر می‌بخشد که نتیجه‌ی اعتماد به نفس طراح در سایه‌ی تمرین و ممارست است. کتاب «نور و سایه در طراحی از چهره جلد ششم» با صفحات گلاسه‌ی رنگی از سوی انتشارات یساولی منتشر شده و در اختیار علاقه‌مندان به هنر طراحی قرار گرفته است.
70,"مجموعه ای هیجان انگیز از شعرهای ویسواوا شیمبورسکا. وقتی که کتاب اینجا در لهستان منتشر شد ، منتقدین با تعجب گفتند: ""چگونه است که او هربار بهتر می شود؟"" این نوزده شعر ، توسط بهمن طالبی نژاد و با راهنمایی ها و کمک های آنا مارچینوفسکا که خود لهستانی است به فارسی ترجمه شده است. booklist درباره ی این کتاب نوشته است:""هیچ خواننده ای ، حتی کسانی که شعر دوست ندارند ، نباید از افشاگری های روشنگرانه ی برنده جایزه نوبل شیمبورسکا بی بهره بمانند [...] شیمبورسکا به شدت طعنه آمیز و فلسفی است و به دقت به پدیدار رویاها و گریزان بودن معنا می پردازد. این مجموعه ی شعر که شامل اشعاری است که به صورت مرتب در این کتاب جمع آوری شده اند بسیار دلپذیر و ژرف هستند. "" در بخشی از شعر افکاری که در خیابان شلوغ به سراغم می آیند می خوانیم:چهره ها.میلیاردها چهره بر گستره زمین.هر یک متفاوت از چهره هایی که بوده اند و خواهند بود.ولی چه کسی حقیقت طبیعت را درمی یابد؟شاید از رشد بی وقفه اش خسته شدهو ایده های گذشته اش را تکرار می کند.با نقاب های کهنه بر چهره ما. شاید ارشمیدس است که از کنارت رد می شود در لباس جین،کاترین کبیر در لباسی ارزان،چند تایی فرعون با کیف دستی و عینک!"
71,ناامیدی در زمان طلاق به میزان انتظارات ما از زندگی مشترک بستگی دارد. هر چه انتظار ما از زندگی بیشتر باشد و لزوم وجود فرد دیگری را برای معنادار کردن زندگی بیشتر احساس کنیم، تحقق نیافتن انتظاراتمان ما را مأیوس‌تر می‌کند. برای بسیاری از افراد زندگی پس از طلاق مانند ظرف شکسته‌ای است که فرد برای ادامه آن باید بتواند اجزای شکسته آن را جمع‌آوری کند. در این دوره می‌توان احساسات عمیق عاطفی مانند یأس، ناامیدی، انتقام، مقابله به مثل و درماندگی را تجربه کرد. این افراد، برای زندگی پس از طلاق باید جهت تازه‌ای را در پیش گیرند و البته به زمانی نیاز دارند که برای آرزوهای بربادرفته خود به سوگ بنشینند و سرانجام به این حقیقت پی ببرند که باید از گذشته دل بکنند. اکثر کتابهایی که درباره طلاق نوشته شده است، تنها به بیان مشکلات برخاسته از جدایی می‌پردازند؛ مانند آسیب دیدن «خود» شخص، بی‌ارزش دانستن خود و پرسشهای مکرر درباره علت طلاق و ترس از آینده. اما دکتر بروس فیشر با ارائه چهارچوب مشخصی این امکان را برای خواننده فراهم می‌سازد تا این دوره کوتاه را بررسی کند، جایگاه خود را تشخیص دهد و با استفاده از رهنمودهای عملی گام به گام، به سوی آینده‌ای سالم و پرنشاط پیش رود. در واقع با مطالعه این کتاب، فرد می‌تواند از گذشته درس بگیرد، خود را بهتر بشناسد و ابعادی از وجود خود را پرورش دهد که قبلا برای او ناشناخته بوده است. بهترین تعبیری که می‌توان از سازندگی این دوره کرد، نقاهت و بهبودی بعد از عمل جراحی است.
72,داستان های این کتاب بر موضوعات گوناگون اخلاقی و رفتاری مثل خودشناسی، ایمان، نیکی به پدر و مادر، صبر و تلاش، امیدواری، بخشندگی و..... تمرکز دارند. در پایان هر داستاک هم پیام آن در بخشی به اسم آموزه آمده است.
76,بوریس گرویس در این کتاب به باستان شناسی فرهنگی در اقلیمی مشخص می پردازد تا توجه ما را به اهداف زیبایی شناختی بنیان‌گذاران کمونیسم شوروی جلب کند. هنرمندان و نظریه پردازان تمامیت طلب اتحاد جماهیر شوروی، همچون سایر مدرنبیت ها در نقاط دیگر، آرزومند هنری بودند که بتواند جهان را دگرگون کند، نه اینکه صرفا آن را به تصویر درآورد.انقلابیون اکتبر 1917 وعده‌ی ایجاد جامعه‌ای را می‌دادند که نه تنها عادلانه‌تر و به لحاظ اقتصادی باثبات‌تر، بلکه زیبا‌تر هم باشد. آن ها می‌خواستند کل حیات ملت را تماما تابه زمام داران حزب کنند، زمام‌دارانی که وظیفه داشتند کلیتی «هنرمندانه» را از دل حتی جزئی‌ترین جنبه‌های زندگی به وجود آورندو بدان هم‌آهنگی و سامان بخشند. اما ریشه‌های این ایده و نتیج هنری و ادبی‌اش چه بودند؟
78,یکی از دشواری ها در فلسفه ارتباط نفس با بدن است. کسانی آن را قدیم و حی و کسانی آنرا حادث وحی دانسته اند و حیات مندی موجود زنده را به آن نسبت داده اند. این کتاب وجود نفس را مورد انکار و یا تایید قرار نداده است بلکه در پی پاسخ به این پرسش است که آیا حیات مندی موجود زنده از ناحیه آنچه که نفس حی نامیده می شود امکان پذیر است.
79,"برایان تریسی که یکی از برترین سخنرانان حرفه ای و مربیان فروش در جهان امروز است،دریافت که مهمترین موفقیت او در فروش کشف ""روانشناسی فروش"" است که مهمتر از تکنیک ها و روش های فروش میباشد.هدف تریسی در کتاب روانشناسی فروش،ارائه مجموعه ای از روش ها،ایده ها،استراتژی ها و تکنیک هاییست که میتوانید به طور کاملا عملی در افزایش فروش محصولات خود استفاده کنید.تریسی که از او به عنوان معلم فروش هم یاد میشود،نتایج حاصل شده ازین کتاب را بار بار ها بروی شاگردانش مشاهده کرده است.او همیشه از میلیونر کردن شاگردانش لذت برده که توانسته آنها را به این سطح از نبوغ برساند .آن هم فقط با انجام دادن تکنیک های ساده کتاب""روانشناسی فروش""!تربرنامه صوتی کلاسیک تریسی با عنوان ""روانشناسی فروش"" پرفروش ترین برنامه آموزش فروش در تاریخ است و هم اکنون برای اولین بار در قالب کتاب روانشناسی فروش گسترش یافته و به روز شده است.در کتاب روانشناسی فروش از برایان تریسی موارد زیر به صورت کاربردی توضیح داده میشود به طوری که فروشندگان بتوانند قدرت فروش خود را دو چندان کنند:""بازی باطنی فروش""چگونه ترس از رد شدن(قبول نکردن درخواست خرید) را از بین ببریم؟چگونه می توان اعتماد به نفسی مستحکم ایجاد کرد؟کنترل افکار ، احساسات و اعمال برای موثرتر بودن"
83,چشم های سنگی و داستان های دیگر، مجموعه ای است دو جلدی از داستان های جذاب بلوک شرق که به ترجمه و انتخاب قاسم صنعوی جمع آوری شده است. مولف تلاش کرده تا از همه ی نویسندگان برجسته ی اروپای شرقی، حداقل یک داستان در این مجموعه حضور داشته باشد و به دلیل این سخت گیری در انتخاب مطلب، خواننده فرصت مطالعه ی مجموعه ای با کیفیت از بهترین داستان های اروپای شرق را به دست می اورد. اسامی نویسندگانی که اثری از آن ها در این کتاب آمده ممکن است برای مخاطب نا آشنا با ادبیات شرق اروپا کمی غریبه باشد اما تک تک این نویسندگان نامی بزرگ در کشور خود بوده و به همین سبب هم انتخاب شده اند.آثار منتخب از ادبیات بلغارستان، رومانی، لهستان، یوگسلاوی، چک-اسلواکی و مجارستان برداشته شده اند و سوای جذابیت و گیرایی خط داستان ها، بخش اعظمی از اوضاع اجتماعی و سیاسی منطقه و زمان خلق داستان را بازتاب می دهند.جلد نخست این کتاب داستان هایی از بلغارستان و چک-اسلواکی را شامل می شود که عامل یک جنایت از هاشک که نویسنده ی اهل چک است، داستانی درخشان و رئال با طنزی تلخ و شیرین می باشد. از بلغارستان هم داستان مرگ یک پرنده اثر امیلیان استانف، فلسفه و حقیقت مرگ را در قالب ادبیات حیوانات بیان داشته است. اسم کتاب هم از داستان چشم های سنگی اثر لادا گالینا، نویسنده ی معروف بلغار گرفته شده که داستان یک گروه حفاری است که حین کار با قبرستانی تاریخی مواجه می شوند.در جلد دوم داستان هایی از نویسندگان کشور رومانی، لهستان و مجارستان آمده و بخش انتهایی مجموعه با آثاری از نویسندگان یوگسلاو خاتمه می یابد. پایان تعطیلات که اثری از اوژن باربو نویسنده ی اهل رومانیست، داستان احساسات واقعی یک زوج در نیمروزی که در تعطیلات سپری می کنند را بیان می کند.
84,بعضی ها به نارنج می مانندتلخ هم شوندباز عطر شان مستت می کند...
85,کتاب حاضر در چهار بخش و 26 فصل تدوین یافته که در بخش اول به توضیح رویکرد کتاب و تفاوت آن با سایر رویکردها اختصاص یافته است. در بخش دوم مسایل کاربردی در توان بخشی و مشاوره خانواده، درگیر کردن خانواده، حضور درمانگر در منزل، درمان مشارکتی، جلسات خانواده، برخورد با مسایل هیجانی و تاثیر خانواده بر متخصص و... مورد بحث قرار می گیرد و راه های عملی و موثر کار با بیمار و خانواده را نشان می دهد. بخش سوم، مسایل هیجانی نظیر خنثی کردن خشم، مدل مذاکره، کمک به زوج های جوان، کودکان در خانواده، اشتغال و... با دقت و همراه ارایه راهکارهای مفید بیان می شود. بخش چهارم به نتیجه گیری اختصاص یافته است. مطالعه این اثر برای روان شناسان بالینی، روان پزشکان، مددکاران اجتماعی و متخصصان توان بخشی و مشاوره مفید و راهگشا است.
86,میانسالی یکی از دوره های انتقالی مهم زندگی است. دوره ای که ویژگی های جسمی و روحی انسان تغییرات محسوسی می کند دوره ای که اگر هرکس آن را بشناسد و درک کند، به راحتی تغییرات جسمی، روحی و روانی خود را کنترل خواهد کرد. این کتاب حاوی پیشنهادهایی عملی و روشن است تا زندگی پیش روی میانسالان را با درک و هوشیاری بهبود بخشد. همچنین با خواندن این کتاب می توانید علاوه بر آشنایی بیشتر با فرآیند تغییر در میانسالی، از این تغییرات در جهت تکامل خود بهره ببرید.
87,پل گوگن از جمله هنرمند پیشرو در اوخر قرن نوزده و اوایل قرن بیستم است که به دلیل نوع بکارگیری رنگهای نمادین، بعدها جزو رهبران جنش سمبولیسم انتخاب شد.
88,فرهنگ دارویی کتابی است حاوی مهمترین اطلاعات مربوط به داروهای ژنریک در ایران: نام ژنریک، فرمول شیمیایی گسترده، فرمول شیمیایی بسته، نام شیمیایی، فارماکولوژی، فارماسوتیکس، موارد منع مصرف، عوارض جانبی، تداخل اثر دارویی، اشکال دارویی، نام های تجارتی.
89,سعید نفیسی دلبسته پرکار زبان و فرهنگ ایران بود که مقاله های ارزشمندی در زمینه زبان و ادب فارسی نوشته است.جلد نخست مقالات او در دو بخش انتشار می یابد:بخش نخست شامل بیست مقاله درباره خط و زبان است که نخستین آنها به سال 1303 در روزنامه شفق سرخ و واپسین مقاله در آن زمینه به سال 1352 چاپ شده است.بخش دوم بیست و شش مقاله در مباحث ادبیات(شعر و نثر) را دربرمی گیرد که درمیان سال های 1308 تا 1343 انتشار یافته است و اکنون به صورت یکجا دراختیار خواهندگان قرار می گیرد.
91,این کتاب مهیج و کاربردی یک منبع ضروری برای هر معلم ابتدایی پرمشغله است و استفاده از آن در کلاس بسیار آسان است. این توصیه ها، داستان هایی با مضمون فعالیت های یادگیری انتقادی برای کمک به کودکان ارائه می دهد:مهارت های تفکر انتقادی را توسعه دهیددرک عقل و دانش در تمام زمینه های برنامه درسیاز شگفتی و کنجکاوی طبیعی آنها استفاده کنید تا در بحث فلسفی شرکت کنید.فعالیت های آموزشی برای مرحله کلیدی 1 و مرحله کلیدی 2 متمایز است، به علاوه فعالیت های ترویجی برای کودکان مشتاق و با استعداد وجود دارد. این منبع سرگرم‌کننده به دانش‌آموزان شما کمک می‌کند تا مهارت‌های عمومی، مهارت‌های بین‌رشته‌ای که لزوما بر چندین نوع دانش و درک و مهارت‌های موضوع متمرکز است که همه حوزه‌های برنامه درسی را علاوه بر حوزه‌های ارزش‌های متقابل درسی پوشش می‌دهند، تمرین کنند. فلسفه شامل انواع خاصی از تفکر انتقادی است و در این کتاب نیز معرفی شده است. داستان‌های اصیل و به زیبایی مصور، مطالب انتزاعی را روشن می‌کنند تا ایده‌های ناآشنا و پیچیده را ملموس و به آسانی قابل درک کنند.
92,این کتاب توضیح می دهد که چگونه فرهنگ خود را با توجه به چهار مدل رهبری و فرهنگ سازی هدفمند کنید - رهبر تنها شورش بردگان، توسن لوورتور هائیتی. سامورایی ها که هفتصد سال بر ژاپن حکومت کردند و فرهنگ مدرن ژاپن را شکل دادند. چنگیز خان که بزرگترین امپراتوری جهان را ساخت. و شاکا سنگور، مردی که به جرم قتل محکوم شد و مخوف ترین باند زندان را در حیاط اداره کرد و در نهایت فرهنگ زندان را تغییر داد.هوروویتز این نمونه‌های رهبری را به مطالعات موردی مدرن مرتبط می‌کند، از جمله اینکه چگونه تکنیک‌های فرهنگی لوورتور توسط رید هستینگز در نتفلیکس، تراویس کالانیک در اوبر، و هیلاری کلینتون به کار گرفته شد (یا باید می‌شد) و اینکه چگونه دیدگاه چنگیز خان در مورد فراگیری فرهنگی مشابهی دارد. کار دان تامپسون، اولین مدیر عامل آفریقایی-آمریکایی مک دونالد، و مگی وایلدروتر، مدیر عاملی که ارتباطات مرزی را رهبری می کرد. سپس هوروویتز راهنمایی هایی را برای کمک به هر شرکتی برای درک استراتژی خود و ایجاد یک فرهنگ موفق ارائه می دهد.این کتاب، سفری در میان فرهنگ، از باستان تا مدرن است. در طول مسیر، به یک سوال اساسی برای هر سازمان پاسخ می دهد: ما کی هستیم؟ چگونه مردم در مورد ما صحبت می کنند زمانی که ما در اطراف نیستیم؟ چگونه با مشتریان خود رفتار کنیم؟ آیا ما در کنار مردمی هستیم که درگیر هستند؟ آیا می توان به ما اعتماد کرد؟اینکه شما چه کسی هستید ارزش هایی نیست که روی دیوار فهرست کرده اید. این چیزی نیست که در جلسه شرکت می گویید. این کمپین بازاریابی شما نیست. حتی آن چیزی نیست که شما باور دارید. آنچه شما هستید همان کاری است که انجام می دهید. هدف این کتاب این است که به شما کمک کند کارهایی را انجام دهید که برای تبدیل شدن به آن گونه رهبری که می خواهید و دیگران می خواهند از آنها پیروی کنند، نیاز دارید.
94,هیچ رابطه‌ی زناشویی و به طور کل هیچ ارتباطی هیچ‌گاه بدون اختلاف، نزاع و مشکلات نبوده است. چرا که آدم‌ها همیشه در مواردی با هم تفاوت و اختلاف‌نظرهایی دارند؛ اما اینکه بتوانیم شفاف و صادقانه اشتباهات خود را بپذیریم و یاد بگیریم که با شناخت عمیق خود به شناخت دیگران برسیم و کنار هم مشکلات را حل کنیم موضوع مهمی است به‌خصوص بین زوج‌ها. دکتر فرهنگ هلاکویی مشاور و روانشناس معروف ایرانی در کتاب صوتی 50 باید و نباید زندگی مشترک راه‌حل‌های مفیدی را به زوج‌ها برای استحکام روابطشان ارائه می‌دهد.
95,بازاریابی محتوا در واقع نوعی از بازاریابی درون گرا است که به فرایند تولید و اشتراک‌گذاری محتوایی جهت حفظ مشتریان قبلی و بدست آوردن مشتریان جدید می‌پردازد.هر بازاریاب می‌داند که محتوا پادشاه است. با این حال، با یک جستجو در گوگل، اطلاعات زیادی در مورد نحوه برنامه‌ریزی، ایجاد و انتشار محتوا دریافت می‌کنید. گم شدن و غرق شدن آسان است. بیشتر اوقات، اطلاعاتی که پیدا می‌کنید پیچیده است و بسیار بعید است که اطلاعاتی در مورد نحوه متناسب بودن و کارکرد قطعات مختلف بازاریابی محتوایی مختلف پیدا کنید.این کتاب به شما بینش ارزشمندی درباره نحوه تفکر درباره برندتان و داستان هایی که بیان می کنید را خواهد داد.شیوه آموزش بازاریابی محتوایی یک صفحه ای به نحوی است که همه جنبه های دشوار و چالش برانگیز در بازاریابی محتوایی را در نظر می گیرد و به نحوی آن را ساده می کند که برای همگان قابل لمس باشد.کتاب حاضر طراحی کارآمد، ساده و با ارزش را برای شما به ارمغان می آورد و اساسا راهنمایی در باب شیوه خلق یک استراتژی بازاریابی محتوایی هدفمند و در جهت دستیابی به موفقیت بلندمدت محسوب می‌شود و...
96,مکانیک کوانتومی (به انگلیسی: Quantum mechanics) شاخه ای از فیزیک است که با پدیده های فیزیکی در مقیاس میکروسکوپی سروکار دارد. بنیادی ترین تفاوت مکانیک کوانتومی با مکانیک کلاسیک در این است که مکانیک کوانتومی توصیفی سازگار با آزمایش ها از ذرات در اندازه های اتمی و زیراتمی در اختیار می دهد، در حالی که مکانیک کلاسیک در قلمرو میکروسکوپی به نتایج نادرست می انجامد.کتاب مکانیک کوانتمی کتابی است جهت آشنایی واضح ، ساده و سرگرم کننده با این دنیای عجیب و غریب و گیج کننده ای که بسیار بسیار کوچک است. این کتاب توسط پروفسور جیم الخلیلی استاد فیریک نوشته شده است و به بررسی کلیه عوامل اصلی ، پیشرفت ها ، اختلاف نظرها و سوالات بی پاسخ دنیای کوانتومی می پردازد. شما خواهید فهمید که چگونه خورشید می درخشد ، چرا نور هم موج و هم ذره ای است ، قطعیت اصل عدم قطعیت ، گربه شرودینگر ، کنش شبح آسای اینشتین ، چگونگی ساخت یک کامپیوتر کوانتومی و چرا مکانیک کوانتومی حتی کارشناسان آن را کاملا دیوانه می کند . جیم الخلیلی کار تحسین برانگیزی را در متراکم کردن ایده های فیزیک کوانتومی از ماکس پلانک تا امکان ایجاد رایانه های کوانتومی انجام داده است.
99,جنبش های پوزیتیویسم منطقی و اگزیستانسیالیسم در بیشتر قرن بیستم بر فلسفه در اروپا تسلط داشتند و تأثیری که آنها اعمال کردند هنوز هم امروزه قابل احساس است. در این کتاب «فلسفه معاصر» فردریک کاپلستون مقدمه ای دقیق و عینی از این دو حوزه بسیار بحث برانگیز تفکر اخیر ارائه می دهد. این کتاب که در ابتدا در سال 1956 نوشته شد و در سال 1972 بازبینی شد، آثار بسیاری از مهم‌ترین متفکران قرن بیستم از جمله آیر، ویتگنشتاین، هایدگر، سارتر و کامو را بررسی می‌کند.
